RCode,Orig,Dest,DepFix,Route String,DCNTR,ACNTR,TCNTRs,CoordReq,Play,NavEqp
ABECLTGV,KABE,KCLT,LRP,KABE LRP EMI GVE AIROW CHSLY9 KCLT,ZNY,ZTL,ZDC ZNY ZTL,N,,1
ABECLTHV,KABE,KCLT,ETX,KABE ETX RAV J64 BURNI TYROO QUARM AIR HVQ LNDIZ PARQR7 KCLT,ZNY,ZTL,ZID ZNY ZOB ZTL,N,,1
ABQASESK,KABQ,KASE,RSK,KABQ LARGO3 RSK SLIPY LOYYD1 KASE,ZAB,ZDV,ZAB ZDV,N,,1
ABQATLER,KABQ,KATL,CNX,KABQ CNX J15 CME BGS SAT Q24 LSU SHYRE HOBTT3 KATL,ZAB,ZTL,ZAB ZFW ZHU ZTL,N,ATL NO CHPPR GLAVN,3
ABQATLLG,KABQ,KATL,TCC,KABQ TCC J6 IRW FSM MEM HUTCC KNSAW RUSSA GLAVN2 KATL,ZAB,ZTL,ZAB ZFW ZME ZTL,N,,1
ABQATLNB,KABQ,KATL,CNX,KABQ CNX J15 CME J65 ABI J4 FUZ Q184 MERDN ORRKK HOBTT3 KATL,ZAB,ZTL,ZAB ZFW ZME ZTL,N,,2
ABQBWICE,KABQ,KBWI,CNX,KABQ CNX J15 CME FST J86 IAH J2 CEW ALLMA TEEEM Q99 OGRAE GOOOB THHMP RAVNN9 KBWI,ZAB,ZDC,ZAB ZDC ZFW ZHU ZJX,N,CEW,1
ABQBWIFR,KABQ,KBWI,FTI,KABQ FTI J18 SLN J24 STL ENL IIU ZIEBR SITTR CJAAE RAVNN9 KBWI,ZAB,ZDC,ZAB ZDC ZID ZKC,N,MCI,1
ABQBWIJ1,KABQ,KBWI,ALS,KABQ ALS J13 FQF J128 HCT J60 JOT J30 APE AIR KEMAN ANTHM5 KBWI,ZAB,ZDC,ZAB ZAU ZDC ZDV ZID ZMP ZNY ZOB,N,JOT 1,1
ABQBWIJ2,KABQ,KBWI,ALS,KABQ ALS PUB J64 HLC PWE LMN MZV JOT J30 APE AIR KEMAN ANTHM5 KBWI,ZAB,ZDC,ZAB ZAU ZDC ZDV ZID ZMP ZNY ZOB,N,JOT 2,1
ABQBWILL,KABQ,KBWI,FTI,KABQ FTI EZEEE MMB PER SGF J98 FAM J78 IIU ZIEBR SITTR CJAAE RAVNN9 KBWI,ZAB,ZDC,ZAB ZDC ZID ZKC,N,IIU,1
ABQBWINA,KABQ,KBWI,TCC,KABQ TCC J6 IRW FSM MEMFS Q34 SITTR CJAAE RAVNN9 KBWI,ZAB,ZDC,ZAB ZDC ZFW ZID ZME,N,HITMN,1
ABQBWIPX,KABQ,KBWI,FTI,KABQ FTI EZEEE MMB PER SGF J98 FAM J78 IIU ZIEBR SITTR CJAAE RAVNN9 KBWI,ZAB,ZDC,ZAB ZDC ZID ZKC,N,PXV,2
ABQBWIVZ,KABQ,KBWI,CME,KABQ MNZNO3 CME J15 INK J4 FUZ UIM ELD IZAAC Q30 VLKNN THRSR KBLER KELLN Q58 PEETT THHMP RAVNN9 KBWI,ZAB,ZDC,ZAB ZDC ZFW ZME ZTL,N,VLKNN,2
ABQCVGCV,KABQ,KCVG,FTI,KABQ FTI J18 GCK DAAVE SARGO5 KCVG,ZAB,ZID,ZAB ZID ZKC,N,,1
ABQDALBG,KABQ,KDAL,CNX,KABQ CNX CME FST JCT DITSY BACHR4 KDAL,ZAB,ZFW,ZAB ZFW ZHU,N,DFW BGTOE,2
ABQDALBV,KABQ,KDAL,TXO,KABQ DOOKK3 TXO TURKI JFRYE5 KDAL,ZAB,ZFW,ZAB ZFW,N,DFW BOOVE,2
ABQDALVK,KABQ,KDAL,CNX,KABQ CNX CME BGS BGTOE BACHR4 KDAL,ZAB,ZFW,ZAB ZFW,N,DFW VKTRY,2
ABQDALWT,KABQ,KDAL,CNX,KABQ CNX J15 JCT CWK TNV MAJKK REDDN4 KDAL,ZAB,ZFW,ZAB ZFW ZHU,N,DFW WEST,1
ABQDENPW,KABQ,KDEN,RSK,KABQ LARGO3 RSK SHNPS TBARR4 KDEN,ZAB,ZDV,ZAB ZDV,N,,1
ABQDFWBG,KABQ,KDFW,CNX,KABQ CNX CME FST JCT GUTZZ BOOVE7 KDFW,ZAB,ZFW,ZAB ZFW ZHU,N,DFW BGTOE,2
ABQDFWBV,KABQ,KDFW,TXO,KABQ DOOKK3 TXO TURKI VKTRY2 KDFW,ZAB,ZFW,ZAB ZFW,N,DFW BOOVE,2
ABQDFWVK,KABQ,KDFW,CNX,KABQ CNX CME BGS GEEKY BOOVE7 KDFW,ZAB,ZFW,ZAB ZFW,N,DFW VKTRY,2
ABQDFWWT,KABQ,KDFW,CNX,KABQ CNX J15 JCT CWK TNV STUFT BEREE3 KDFW,ZAB,ZFW,ZAB ZFW ZHU,N,DFW WEST,1
ABQEGESK,KABQ,KEGE,RSK,KABQ LARGO3 RSK IBSKI AAVON1 KEGE,ZAB,ZDV,ZAB ZDV,N,,2
ABQGJTSK,KABQ,KGJT,RSK,KABQ LARGO3 RSK DVC JNC KGJT,ZAB,ZDV,ZAB ZDV,N,,1
ABQHDNSK,KABQ,KHDN,RSK,KABQ LARGO3 RSK DRO EKR CHE KHDN,ZAB,ZDV,ZAB ZDV,N,,1
ABQHOUDB,KABQ,KHOU,CNX,KABQ CNX CME BGS JCT SAT BELLR6 KHOU,ZAB,ZHU,ZAB ZFW ZHU,N,IAH DOOBI NORTH,1
ABQHOUDS,KABQ,KHOU,CNX,KABQ CNX J15 JCT SAT BELLR6 KHOU,ZAB,ZHU,ZAB ZFW ZHU,N,IAH DOOBI SOUTH,1
ABQHOUE2,KABQ,KHOU,CNX,KABQ CNX J15 JCT SAT BELLR6 KHOU,ZAB,ZHU,ZAB ZFW ZHU,N,IAH EAST 2,1
ABQHOUEA,KABQ,KHOU,CNX,KABQ CNX CME BGS SJT JCT SAT BELLR6 KHOU,ZAB,ZHU,ZAB ZFW ZHU,N,IAH EAST 1,1
ABQHOUKB,KABQ,KHOU,CNX,KABQ CNX CME CNM PEQ KOBLE DLF COT SLENA ALIEF BELLR BELLR6 KHOU,ZAB,ZHU,ZAB ZHU,N,IAH KOBLE,1
ABQHOURN,KABQ,KHOU,CNX,KABQ CNX CME BGS JCT SAT BELLR6 KHOU,ZAB,ZHU,ZAB ZFW ZHU,N,IAH DRLLR NORTH,1
ABQHOURS,KABQ,KHOU,CNX,KABQ CNX J15 JCT SAT BELLR6 KHOU,ZAB,ZHU,ZAB ZFW ZHU,N,IAH DRLLR SOUTH,1
ABQIAHDB,KABQ,KIAH,CNX,KABQ CNX CME BGS SJT JCT SAT TEJAS5 KIAH,ZAB,ZHU,ZAB ZFW ZHU,N,IAH DOOBI NORTH,1
ABQIAHDH,KABQ,KIAH,CNX,KABQ CNX J15 JCT SAT TEJAS5 KIAH,ZAB,ZHU,ZAB ZFW ZHU,N,IAH DOOBI SOUTH,1
ABQIAHDR,KABQ,KIAH,CNX,KABQ CNX CME BGS SJT JCT SAT TEJAS5 KIAH,ZAB,ZHU,ZAB ZFW ZHU,N,IAH DRLLR NORTH,1
ABQIAHDS,KABQ,KIAH,CNX,KABQ CNX J15 JCT SAT TEJAS5 KIAH,ZAB,ZHU,ZAB ZFW ZHU,N,IAH DRLLR SOUTH,1
ABQIAHE2,KABQ,KIAH,CNX,KABQ CNX J15 JCT SAT TEJAS5 KIAH,ZAB,ZHU,ZAB ZFW ZHU,N,IAH EAST 2,1
ABQIAHEA,KABQ,KIAH,CNX,KABQ CNX CME PEQ FST J138 SAT TEJAS5 KIAH,ZAB,ZHU,ZAB ZHU,N,IAH EAST 1,1
ABQIAHKB,KABQ,KIAH,CNX,KABQ CNX CNM PEQ KOBLE DLF COT SLENA BRRNS CATTT GMANN TEJAS5 KIAH,ZAB,ZHU,ZAB ZHU,N,IAH KOBLE,1
ABQIAHTJ,KABQ,KIAH,CNX,KABQ CNX CME PEQ DIESL MSCOT4 KIAH,ZAB,ZHU,ZAB ZFW ZHU,N,IAH TEJAS,1
ABQIAHWT,KABQ,KIAH,TCC,KABQ TCC J6 PNH J58 FUZ EIC SWEUP ZEEKK3 KIAH,ZAB,ZHU,ZAB ZFW ZHU,N,IAH WEST,1
ABQMDWMD,KABQ,KMDW,FTI,KABQ FTI J18 GCK J96 SLN J24 MCI J80 SPI PHEEB ENDEE8 KMDW,ZAB,ZAU,ZAB ZAU ZKC,N,MDW NO JILLZ,1
ABQORDB1,KABQ,KORD,TCC,KABQ TCC J6 IRW J98 SGF WELTS TRTLL6 KORD,ZAB,ZAU,ZAB ZAU ZFW ZKC,N,ORD NO BENKY 1,2
ABQORDB2,KABQ,KORD,FQF,KABQ ABQ J13 FQF BFF J94 ONL FOD MYRRS FYTTE7 KORD,ZAB,ZAU,ZAB ZAU ZDV ZMP,N,ORD NO BENKY 2,1
ABQORDJB,KABQ,KORD,FQF,KABQ ABQ J13 FQF BFF J94 ONL J114 GEP TVC WYNDE3 KORD,ZAB,ZAU,ZAB ZAU ZDV ZMP,N,,1
ABQORDJV,KABQ,KORD,FTI,KABQ FTI J18 GCK J96 IRK BENKY6 KORD,ZAB,ZAU,ZAB ZAU ZKC,N,ORD JVL 1,1
ABQPHXKS,KABQ,KPHX,ONM,KABQ ONM DRRVR PINNG1 KPHX,ZAB,ZAB,ZAB,N,,1
ABQPHXSS,KABQ,KPHX,ONM,KABQ ONM J104 SSO SUNSS8 KPHX,ZAB,ZAB,ZAB,N,,1
ABQRILSK,KABQ,KRIL,RSK,KABQ LARGO3 RSK DVC JNC RIL KRIL,ZAB,ZDV,ZAB ZDV,N,,1
ABQSDLSS,KABQ,KSDL,ONM,KABQ ONM J104 SSO SUNSS8 KSDL,ZAB,ZAB,ZAB,N,,1
ABQSTLWE,KABQ,KSTL,FTI,KABQ FTI EZEEE MMB TUL RZC ARG BOOSH3 KSTL,ZAB,ZKC,ZAB ZKC ZME,N,,1
ACKACYPP,KACK,KACY,SEY,KACK MVY JAWZZ SEY ORCHA T320 BRIGS KACY,ZBW,ZDC,ZBW ZDC ZNY,N,,3
ACKADWB7,KACK,KADW,LFV,KACK LFV CELTS NELIE Q75 MXE V378 BAL KADW,ZBW,ZDC,ZBW ZDC ZNY,N,,3
ACKADWPJ,KACK,KADW,MVY,KACK MVY JAWZZ Q220 RIFLE Q167 ZIZZI KNUKK ATR LAFLN SPISY2 KADW,ZBW,ZDC,ZBW ZDC ZNY,N,,3
ACKADWPP,KACK,KADW,MVY,KACK MVY JAWZZ SEY ORCHA T320 VAALI CAPKO KADW,ZBW,ZDC,ZBW ZDC ZNY,N,,3
ACKAGSPJ,KACK,KAGS,LFV,KACK LFV CELTS NELIE Q75 GSO STWRT3 KAGS,ZBW,ZTL,ZBW ZDC ZJX ZNY ZTL,N,,3
ACKAKRPJ,KACK,KAKR,LFV,KACK LFV CELTS CTR HNK J49 PSB SOORD ZZIPS1 KAKR,ZBW,ZOB,ZBW ZNY ZOB,N,,2
ACKAPFPJ,KACK,KAPF,LFV,KACK LFV CELTS NELIE Q75 SLOJO Q103 CYNTA SHFTY6 KAPF,ZBW,ZMA,ZBW ZDC ZJX ZMA ZNY ZTL,N,,3
ACKATL29,KACK,KATL,LFV,KACK LFV CELTS MANCH CAM Q822 GONZZ Q29 WWSHR APE KTRYN ONDRE1 KATL,ZBW,ZTL,ZBW ZID ZOB ZTL,Y,,3
ACKATLG2,KACK,KATL,LFV,KACK LFV CELTS MANCH CAM Q822 GONZZ Q29 KLYNE RINTE IIU HITMN NEWBB IHAVE MTHEW CHPPR1 KATL,ZBW,ZTL,ZBW ZID ZME ZOB ZTL,Y,ATL NO OZZZI ONDRE,3
ACKATLPJ,KACK,KATL,LFV,KACK LFV CELTS BAF Q448 PTW J48 MOL FLASK OZZZI2 KATL,ZBW,ZTL,ZBW ZDC ZNY ZTL,N,,1
ACKATLT7,KACK,KATL,MVY,KACK MVY JAWZZ Q220 RIFLE HEADI Q97 SAWED GUILD Q409 MRPIT CEELY Q172 YUTEE SKWKR JJEDI4 KATL,ZBW,ZTL,ZBW ZDC ZJX ZNY ZTL,Y,,3
ACKATLY5,KACK,KATL,LFV,KACK LFV CELTS MANCH SYR J59 PSB HACKS HVQ HLRRY ONDRE1 KATL,ZBW,ZTL,ZBW ZID ZNY ZOB ZTL,Y,NE TO ATL CLT,3
ACKAUSA4,KACK,KAUS,LFV,KACK LFV CELTS BAF Q448 PTW J48 CSN FANPO Q40 AEX WEEED WLEEE7 KAUS,ZBW,ZHU,ZBW ZDC ZHU ZME ZNY ZTL,N,,3
ACKAUSPJ,KACK,KAUS,LFV,KACK LFV CELTS BAF Q406 BWZ J6 HVQ Q68 LITTR TXK BROBB WINDU SEWZY6 KAUS,ZBW,ZHU,ZBW ZDC ZFW ZHU ZID ZME ZNY,N,,3
ACKBCTPJ,KACK,KBCT,MVY,KACK MVY JAWZZ Q220 RIFLE HEADI Q97 KALDA Q131 WAALT Y289 DULEE CLMNT3 KBCT,ZBW,ZMA,ZBW ZDC ZJX ZMA ZNY,N,,3
ACKBCTPL,KACK,KBCT,MVY,KACK MVY JAWZZ Q220 RIFLE HEADI Q97 KENLL CPTAN4 KBCT,ZBW,ZMA,ZBW ZDC ZJX ZMA ZNY,N,NE TO FLORIDA VIA Q97 1,3
ACKBHMPJ,KACK,KBHM,LFV,KACK LFV CELTS BAF Q448 PTW J48 CSN FANPO Q40 NIOLA VUZ KBHM,ZBW,ZTL,ZBW ZDC ZNY ZTL,N,,1
ACKBNAA4,KACK,KBNA,LFV,KACK LFV CELTS BAF Q448 PTW J48 CSN FANPO Q40 ALEAN EDDDY SWFFT3 KBNA,ZBW,ZME,ZBW ZDC ZME ZNY ZTL,N,,3
ACKBNAN4,KACK,KBNA,LFV,KACK LFV CELTS CTR HNK J49 PSB HVQ Q68 YOCKY CUTRR PASLY5 KBNA,ZBW,ZME,ZBW ZID ZME ZNY ZOB,Y,ZBW VIA HNK ESCAPE,3
ACKBNAPJ,KACK,KBNA,LFV,KACK LFV CELTS BAF Q406 BWZ J6 HVQ Q68 YOCKY CUTRR PASLY5 KBNA,ZBW,ZME,ZBW ZDC ZID ZME ZNY,N,,3
ACKBNAT7,KACK,KBNA,MVY,KACK MVY JAWZZ Q220 RIFLE HEADI Q97 SAWED GUILD Q409 MRPIT CEELY Q172 YUTEE IRQ THRSR SWFFT3 KBNA,ZBW,ZME,ZBW ZDC ZJX ZME ZNY ZTL,Y,ZBW VIA HTO ESCAPE,3
ACKBUFPJ,KACK,KBUF,LFV,KACK LFV CELTS MANCH SYR ROC EHMAN KBUF,ZBW,ZOB,ZBW ZOB,N,,2
ACKBWI29,KACK,KBWI,LFV,KACK LFV CELTS MANCH CAM Q822 GONZZ Q29 SPYDY AIR KEMAN ANTHM5 KBWI,ZBW,ZDC,ZBW ZDC ZNY ZOB,Y,DC NORTH,3
ACKBWIPJ,KACK,KBWI,LFV,KACK LFV CELTS NELIE Q75 MXE V378 NUGGY TRISH4 KBWI,ZBW,ZDC,ZBW ZDC ZNY,N,,3
ACKBWIPM,KACK,KBWI,LFV,KACK LFV CELTS MANCH CAM PUPPY MEMMS IZZEE TRISH4 KBWI,ZBW,ZDC,ZBW ZDC ZNY ZOB,Y,ZBW CZU TO ZDC,3
ACKBWIPT,KACK,KBWI,MVY,KACK MVY JAWZZ Q220 RIFLE Q167 ZIZZI KNUKK ATR LAFLN MIIDY4 KBWI,ZBW,ZDC,ZBW ZDC ZNY,N,DC NORTH 2,3
ACKBWIY5,KACK,KBWI,LFV,KACK LFV CELTS MANCH SYR J59 PSB RAV T356 KERYN T449 KITHE KBWI,ZBW,ZDC,ZBW ZDC ZNY ZOB,Y,DC NORTH,3
ACKBWIYK,KACK,KBWI,LFV,KACK LFV CELTS CTR HNK J49 MAGIO IZZEE TRISH4 KBWI,ZBW,ZDC,ZBW ZDC ZNY,Y,ZBW CZU TO ZDC,1
ACKCAEPJ,KACK,KCAE,LFV,KACK LFV CELTS NELIE Q75 GSO KCAE,ZBW,ZJX,ZBW ZDC ZJX ZNY ZTL,N,,3
ACKCAKPJ,KACK,KCAK,LFV,KACK LFV CELTS CTR HNK J49 PSB SOORD ZZIPS1 KCAK,ZBW,ZOB,ZBW ZNY ZOB,N,,1
ACKCHAPJ,KACK,KCHA,LFV,KACK LFV CELTS BAF Q448 PTW J48 CSN FANPO Q40 ALEAN VXV KCHA,ZBW,ZTL,ZBW ZDC ZNY ZTL,N,,1
ACKCHOPJ,KACK,KCHO,LFV,KACK LFV CELTS NELIE Q75 GVE KCHO,ZBW,ZDC,ZBW ZDC ZNY,N,,3
ACKCHSA4,KACK,KCHS,LFV,KACK LFV CELTS BAF Q448 PTW J48 EMI GVE Q75 GSO OBNEE OSPRI7 KCHS,ZBW,ZJX,ZBW ZDC ZJX ZNY ZTL,Y,,3
ACKCHSB7,KACK,KCHS,LFV,KACK LFV CELTS NELIE Q75 GSO OBNEE OSPRI7 KCHS,ZBW,ZJX,ZBW ZDC ZJX ZNY ZTL,N,,3
ACKCHSPJ,KACK,KCHS,MVY,KACK MVY JAWZZ Q220 RIFLE HEADI Q97 SAWED DFENC Q109 JOHAR AMYLU AMYLU3 KCHS,ZBW,ZJX,ZBW ZDC ZJX ZNY,N,,3
ACKCLEA8,KACK,KCLE,LFV,KACK LFV CELTS BAF Q480 AIR ROLLN ROLLN2 KCLE,ZBW,ZOB,ZBW ZNY ZOB,Y,,1
ACKCLEPJ,KACK,KCLE,LFV,KACK LFV CELTS MANCH CAM Q822 GONZZ HANKK THOME TRYBE4 KCLE,ZBW,ZOB,ZBW ZOB,N,,3
ACKCLEY5,KACK,KCLE,LFV,KACK LFV CELTS MANCH SYR J59 PSB UPPRR TRYBE4 KCLE,ZBW,ZOB,ZBW ZNY ZOB,Y,,2
ACKCLT29,KACK,KCLT,LFV,KACK LFV CELTS MANCH CAM Q822 GONZZ Q29 JHW FOXEE Q145 HVQ LNDIZ PARQR7 KCLT,ZBW,ZTL,ZBW ZID ZOB ZTL,Y,,3
ACKCLTPJ,KACK,KCLT,LFV,KACK LFV CELTS NELIE Q75 GVE AIROW CHSLY9 KCLT,ZBW,ZTL,ZBW ZDC ZNY ZTL,N,,3
ACKCLTT7,KACK,KCLT,MVY,KACK MVY JAWZZ Q220 RIFLE HEADI Q97 SAWED GUILD Q409 OKNEE MLLET6 KCLT,ZBW,ZTL,ZBW ZDC ZJX ZNY ZTL,Y,ZBW VIA HTO ESCAPE,3
ACKCMH29,KACK,KCMH,LFV,KACK LFV CELTS MANCH CAM Q822 GONZZ Q29 WWSHR CBUSS2 KCMH,ZBW,ZID,ZBW ZID ZOB,N,,3
ACKCMHPJ,KACK,KCMH,LFV,KACK LFV CELTS BAF Q480 AIR CLPRR4 KCMH,ZBW,ZID,ZBW ZID ZNY ZOB,N,,3
ACKCRWPJ,KACK,KCRW,LFV,KACK LFV CELTS BAF Q480 LEJOY EMNEM HVQ KCRW,ZBW,ZID,ZBW ZID ZNY ZOB,N,,1
ACKCVG29,KACK,KCVG,LFV,KACK LFV CELTS MANCH CAM Q822 GONZZ Q29 WWSHR UKATS TIGRR4 KCVG,ZBW,ZID,ZBW ZID ZOB,N,,3
ACKCVGA6,KACK,KCVG,LFV,KACK LFV CELTS BAF Q406 BWZ J6 COLNS GAVNN8 KCVG,ZBW,ZID,ZBW ZDC ZID ZNY,Y,,3
ACKCVGG1,KACK,KCVG,LFV,KACK LFV CELTS MANCH CAM Q822 GONZZ JOSSY MAULL KODIE SAVVI TIGRR4 KCVG,ZBW,ZID,ZBW ZID ZOB,N,,3
ACKCVGPJ,KACK,KCVG,LFV,KACK LFV CELTS CTR HNK J49 PSB MAULL KODIE SAVVI TIGRR4 KCVG,ZBW,ZID,ZBW ZID ZNY ZOB,N,,2
ACKDAL29,KACK,KDAL,LFV,KACK LFV CELTS MANCH CAM Q822 GONZZ Q29 KLYNE PXV J131 LIT DIRRK HIBIL3 KDAL,ZBW,ZFW,ZBW ZFW ZID ZME ZOB,N,,1
ACKDALPJ,KACK,KDAL,LFV,KACK LFV CELTS BAF Q406 BWZ J6 HVQ Q68 LITTR DIRRK HIBIL3 KDAL,ZBW,ZFW,ZBW ZDC ZFW ZID ZME ZNY,N,,3
ACKDAY29,KACK,KDAY,LFV,KACK LFV CELTS MANCH CAM Q822 GONZZ Q29 KLYNE ROD DQN KDAY,ZBW,ZID,ZBW ZID ZOB,N,,3
ACKDAYPJ,KACK,KDAY,LFV,KACK LFV CELTS BAF Q480 AIR APE DANEI3 KDAY,ZBW,ZID,ZBW ZID ZNY ZOB,N,,1
ACKDCA29,KACK,KDCA,LFV,KACK LFV CELTS MANCH CAM Q822 GONZZ Q29 SPYDY AIR J34 BUCKO FRDMM7 KDCA,ZBW,ZDC,ZBW ZDC ZOB,Y,DC NORTH,3
ACKDCAN4,KACK,KDCA,LFV,KACK LFV CELTS CTR HNK J49 PSB SKILS5 KDCA,ZBW,ZDC,ZBW ZDC ZNY,N,,2
ACKDCAPB,KACK,KDCA,LFV,KACK LFV CELTS NELIE Q75 MXE CLIPR3 KDCA,ZBW,ZDC,ZBW ZDC ZNY,N,,3
ACKDCAPJ,KACK,KDCA,MVY,KACK MVY JAWZZ Q220 RIFLE Q167 ZIZZI KNUKK ATR LAFLN DEALE3 KDCA,ZBW,ZDC,ZBW ZDC ZNY,N,DC NORTH 2,3
ACKDCAPM,KACK,KDCA,LFV,KACK LFV CELTS MANCH CAM PUPPY MEMMS PSB SKILS5 KDCA,ZBW,ZDC,ZBW ZDC ZNY ZOB,Y,ZBW CZU TO ZDC,3
ACKDCAY5,KACK,KDCA,LFV,KACK LFV CELTS MANCH SYR J59 PSB SKILS5 KDCA,ZBW,ZDC,ZBW ZDC ZNY ZOB,Y,DC NORTH,3
ACKDETPJ,KACK,KDET,LFV,KACK LFV CELTS MANCH CAM Q822 GONZZ COLTS GIGGY2 KDET,ZBW,ZOB,CZY ZBW ZOB,N,,3
ACKDFW29,KACK,KDFW,LFV,KACK LFV CELTS MANCH CAM Q822 GONZZ Q29 KLYNE PXV J131 LIT FEWWW SEEVR4 KDFW,ZBW,ZFW,ZBW ZFW ZID ZME ZOB,Y,ZBW VIA SYR ESCAPE,3
ACKDFWA1,KACK,KDFW,LFV,KACK LFV CELTS BAF Q406 BWZ J6 HVQ Q68 RAMRD IZAAC YUYUN BEREE3 KDFW,ZBW,ZFW,ZBW ZDC ZFW ZID ZME ZNY,Y,DFW SEEVR 3,3
ACKDFWA4,KACK,KDFW,LFV,KACK LFV CELTS BAF Q448 PTW J48 CSN FANPO Q40 BFOLO IGB SQS YUYUN BEREE3 KDFW,ZBW,ZFW,ZBW ZDC ZFW ZME ZNY ZTL,Y,,3
ACKDFWPJ,KACK,KDFW,LFV,KACK LFV CELTS BAF Q406 BWZ J6 HVQ Q68 LITTR FEWWW SEEVR4 KDFW,ZBW,ZFW,ZBW ZDC ZFW ZID ZME ZNY,N,,3
ACKDFWT7,KACK,KDFW,MVY,KACK MVY JAWZZ Q220 RIFLE HEADI Q97 SAWED GUILD Q409 SESUE PANDY TWINS NOKIE MGMRY GARTS AEX PNUTS BEREE3 KDFW,ZBW,ZFW,ZBW ZDC ZFW ZHU ZJX ZNY ZTL,Y,,3
ACKDJTB7,KACK,KDJT,LFV,KACK LFV CELTS NELIE Q75 ENEME VUUDU2 KDJT,ZBW,ZMA,ZBW ZDC ZJX ZMA ZNY ZTL,Y,NE TO FLORIDA VIA Q75 2,3
ACKDJTDW,KACK,KDJT,MVY,KACK MVY SEY ORCHA SPDEY Y488 STERN Y493 BAHAA DULEE CLMNT3 KDJT,ZBW,ZMA,ZBW ZDC ZJX ZMA ZNY ZWY,N,,3
ACKDJTPJ,KACK,KDJT,MVY,KACK MVY JAWZZ Q220 RIFLE HEADI Q97 KALDA Q131 WAALT Y289 DULEE CLMNT3 KDJT,ZBW,ZMA,ZBW ZDC ZJX ZMA ZNY,N,,3
ACKDJTPL,KACK,KDJT,MVY,KACK MVY JAWZZ Q220 RIFLE HEADI Q97 KENLL CPTAN4 KDJT,ZBW,ZMA,ZBW ZDC ZJX ZMA ZNY,N,NE TO FLORIDA VIA Q97 1,3
ACKDJTS5,KACK,KDJT,LFV,KACK LFV CELTS NELIE Q75 GSO Q83 JEVED Q97 KENLL CPTAN4 KDJT,ZBW,ZMA,ZBW ZDC ZJX ZMA ZNY ZTL,Y,NE TO FLORIDA VIA Q75 1,3
ACKDOVPJ,KACK,KDOV,MVY,KACK MVY JAWZZ Q220 RIFLE Q439 BRIGS SIE KDOV,ZBW,ZDC,ZBW ZDC ZNY,N,,3
ACKDTW16,KACK,KDTW,LFV,KACK LFV CELTS MANCH HANAA Q816 GOATR WOZEE DONEO TPGUN2 KDTW,ZBW,ZOB,ZBW ZOB,Y,,3
ACKDTW22,KACK,KDTW,LFV,KACK LFV CELTS MANCH CAM Q822 TANKO GRAYT LAYKS2 KDTW,ZBW,ZOB,CZY ZBW ZOB,Y,,3
ACKDTWA8,KACK,KDTW,LFV,KACK LFV CELTS BAF Q480 LEJOY Q178 KOZAR BONZZ2 KDTW,ZBW,ZOB,ZBW ZNY ZOB,Y,,3
ACKDTWN4,KACK,KDTW,LFV,KACK LFV CELTS CTR HNK CFB TRAAD JACCI FERRL2 KDTW,ZBW,ZOB,ZBW ZNY ZOB,Y,,2
ACKDTWPJ,KACK,KDTW,LFV,KACK LFV CELTS MANCH CAM Q822 GONZZ DONEO TPGUN2 KDTW,ZBW,ZOB,ZBW ZOB,N,,3
ACKECGPJ,KACK,KECG,MVY,KACK MVY JAWZZ Q220 RIFLE Q167 ZJAAY SAWED ORF KECG,ZBW,ZDC,ZBW ZDC ZNY,N,,3
ACKEWRBP,KACK,KEWR,LFV,KACK LFV CELTS BAF FLOSI4 KEWR,ZBW,ZNY,ZBW ZNY,N,,1
ACKEWREX,KACK,KEWR,MVY,KACK MVY V146 PVD V167 HFD V3 CMK V623 SAX KEWR,ZBW,ZNY,ZBW ZNY,Y,SERBOS 1,1
ACKEWRMH,KACK,KEWR,LFV,KACK LFV CELTS MANCH HANAA FLOSI4 KEWR,ZBW,ZNY,ZBW ZNY,N,,2
ACKEWRPJ,KACK,KEWR,MVY,KACK MVY PVD PUT NELIE FLOSI4 KEWR,ZBW,ZNY,ZBW ZNY,N,,1
ACKEWRPP,KACK,KEWR,MVY,KACK MVY PVD V146 BAF MOBBS T295 SAGES V489 COATE KEWR,ZBW,ZNY,ZBW ZNY,N,,1
ACKFAYPJ,KACK,KFAY,LFV,KACK LFV CELTS NELIE Q75 GVE SBV RDU KFAY,ZBW,ZDC,ZBW ZDC ZNY,N,,3
ACKFLLB7,KACK,KFLL,LFV,KACK LFV CELTS NELIE Q75 ENEME TEEKY4 KFLL,ZBW,ZMA,ZBW ZDC ZJX ZMA ZNY ZTL,Y,NE TO FLORIDA VIA Q75 2,3
ACKFLLDW,KACK,KFLL,MVY,KACK MVY JAWZZ Q220 RIFLE SPDEY Y488 STERN Y493 JENKS MAJIK CUUDA3 KFLL,ZBW,ZMA,ZBW ZDC ZJX ZMA ZNY ZWY,N,,3
ACKFLLN4,KACK,KFLL,LFV,KACK LFV CELTS CTR HNK J49 PSB Q71 GEFFS HVQ Q147 BURGG ENEME TEEKY4 KFLL,ZBW,ZMA,ZBW ZID ZJX ZMA ZNY ZOB ZTL,Y,,3
ACKFLLPJ,KACK,KFLL,MVY,KACK MVY JAWZZ Q220 RIFLE HEADI Q97 KALDA Q161 CHIEZ Y291 MAJIK CUUDA3 KFLL,ZBW,ZMA,ZBW ZDC ZJX ZMA ZNY,N,,3
